gene_name,timepoint
ATF3,Early
ETV1,Early
NRIP1,Early
RUNX1T1,Early
TFAP2C,Early
NAB1,Early
NFKB2,Early
CITED4,Early
RNF14,Early
JADE2,Early
SAMD4A,Early
SOX3,Early
ERNI,Early
TRIM24,Early
Z-ZNF462,Early
ATF7IP,Middle
BRD8,Middle
ENSGALG00000037457,Middle
FUBP1,Middle
HESX1,Middle
MBD3,Middle
MID1,Middle
PTTG2,Middle
SOX2,Middle
SP4,Middle
TCF7L2,Middle
ZNF821,Middle
MDFI,Middle
HMGA2,Middle
LIN28A,Middle
LMO1,Middle
LMX1B,Middle
PDCD4,Middle
SIX3,Middle
CBY1,Late
E2F3,Late
FEZF2,Late
GLI2,Late
HOXB1,Late
MAML2,Late
MEIS1,Late
NKX6-2,Late
Z-SMAD2Z,Late
T,Late
ZEB2,Late
SIX1,Late
